EMPLOYER_KEY,EMPLOYER_NAME,Certified_LCAs,New_Employment_Approval,Most_Common_SOC,Median_Prevailing_Wage_Level,Median_Annualized_Prevailing_Wage
dnvusa,DNV USA,1,2,Electrical Engineers,IV,123739
dobleengineeringcompany,DOBLE ENGINEERING COMPANY,1,2,Electrical Engineers,II,113214
dolbylaboratories,Dolby Laboratories,10,2,Computer and Information Research Scientists,II,146592.5
donegalofficesolutions,Donegal Office Solutions,1,2,Construction Managers,NA,115172
dotcomteam,DOTCOM TEAM,22,2,Software Developers,II,100745
dowjonesandcompany,Dow Jones and Company,19,2,Software Developers,III,112996
doxel,Doxel,2,2,Architectural and Engineering Managers,II,150820.5
doyensquaretechnologies,Doyen Square Technologies,1,2,Software Developers,I,84094
drivautomotive,DRiV Automotive,1,2,Mechanical Engineers,IV,116938
dskservices,DSK Services,1,2,Network and Computer Systems Administrators,I,66997
dullesgeotechnicalandmaterialtestingservices,Dulles Geotechnical and Material Testing Services,1,2,Civil Engineers,I,71906
dunbradstreet,Dun & Bradstreet,9,2,Computer Systems Engineers/Architects,III,121514
dunseithpublicschool,Dunseith Public School,2,2,"Special Education Teachers, Elementary School",I,44490
dunseithpublicschooldistrict1,Dunseith Public School District 1,1,2,"Elementary School Teachers, Except Special Education",NA,47500
duplocloud,DUPLOCLOUD,2,2,Computer Network Architects,IV,136271
durandglassmanufacturingcompany,Durand Glass Manufacturing Company,1,2,Industrial Engineers,I,70658
durhampublicschools,Durham Public Schools,2,2,"Elementary School Teachers, Except Special Education",IV,59650
dvitechnologies,DVI Technologies,5,2,Software Developers,II,75462.40000000001
dynamicbiologics,Dynamic Biologics,2,2,Chemists,II,86018.5
dynatrace,Dynatrace,3,2,Operations Research Analysts,III,127504
e2consultingengineers,E2 Consulting Engineers,7,2,Project Management Specialists,III,109470
e2open,E2open,11,2,Computer Systems Analysts,III,112486
eaglebutteschooldistrict201,Eagle Butte School District 20-1,2,2,"Elementary School Teachers, Except Special Education",II,50004
earlhamcollege,Earlham College,3,2,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",I,54460
earlywarningservices,Early Warning Services,26,2,Software Developers,IV,145779
easternconnecticutstateuniversity,Eastern Connecticut State University,4,2,"Business Teachers, Postsecondary",NA,73912
eccalon,Eccalon,1,2,Software Developers,II,126942
ecmsolutions,ECM SOLUTIONS,2,2,Software Developers,I,76981
ecomconsultingincorporated,ECOM Consulting Incorporated,18,2,Software Developers,II,105997
ecomstrategies,Ecom Strategies,1,2,Information Technology Project Managers,II,108098
edgesoftcorporation,Edgesoft Corporation,2,2,Software Developers,I,94578
edimatrix,EDI-Matrix,1,2,Computer Network Architects,I,83158
educationaltestingservice,Educational Testing Service,22,2,Software Developers,IV,125653
educationforchange,Education for Change,4,2,"Elementary School Teachers, Except Special Education",NA,69394
edwardslifesciences,Edwards Lifesciences,22,2,Biostatisticians,III,118591
efficio,Efficio,1,2,Management Analysts,I,68848
egenesis,eGenesis,2,2,Quality Control Systems Managers,III,150322
eightelevengroup,Eight Eleven Group,2,2,Business Intelligence Analysts,IV,126443.20000000001
einfochips,eInfochips,7,2,Software Developers,IV,131581
einsteinpracticeplan,Einstein Practice Plan,2,2,"Physicians, All Other",I,73965
eisai,EISAI,7,2,Clinical Data Managers,II,121514
eisneradvisorygroup,Eisner Advisory Group,3,2,Accountants and Auditors,IV,104707
electricsheeprobotics,Electric Sheep Robotics,1,2,Computer and Information Research Scientists,II,179837
electroluxhomeproducts,Electrolux Home Products,7,2,Mechanical Engineers,II,102856
electronicsbazar,ELECTRONICS BAZAR,1,2,Management Analysts,II,91062
eleganttechnologies,Elegant Technologies,1,2,Software Developers,II,105997
elekta,Elekta,1,2,Software Developers,III,114691
elementenergy,Element Energy,1,2,Electrical Engineers,III,150259
eliyancorp,Eliyan Corp,2,2,Architectural and Engineering Managers,II,179608
ellingtonmanagementgroup,Ellington Management Group,1,2,Accountants and Auditors,II,81744
elogicsquare,ELogicSquare,2,2,Software Developers,I,78686.5
elogistek,ELogisTek,1,2,Logisticians,II,64022
elotouchsolutions,Elo Touch Solutions,1,2,Computer Systems Analysts,II,100714
eminentsoftwareservices,Eminent Software Services,7,2,Software Developers,III,99341
empowerretirement,EMPOWER RETIREMENT,19,2,Software Developers,III,144914
encoratechnologygroup,Encora Technology Group,2,2,Software Developers,III,126589
encovaservicecorp,Encova Service Corp,7,2,Accountants and Auditors,II,69555
endavasolutions,Endava Solutions,1,2,Software Developers,II,90397
endeavorhealthmedicalgroup,Endeavor Health Medical Group,1,2,Pharmacists,II,118373
endeavourtechnologies,ENDEAVOUR TECHNOLOGIES,9,2,Business Intelligence Analysts,II,80018
enemyswimdayschool,ENEMY SWIM DAY SCHOOL,2,2,"Elementary School Teachers, Except Special Education",I,45010
energyexemplar,Energy Exemplar,3,2,Computer Systems Engineers/Architects,IV,121451
enersys,EnerSys,1,2,Electrical Engineers,II,92955
enersysdelaware,EnerSys Delaware,5,2,Mechanical Engineers,III,108701
enkaconstructionanddevelopment,ENKA CONSTRUCTION AND DEVELOPMENT,1,2,Construction Managers,II,57325
ensoma,Ensoma,1,2,"Medical Scientists, Except Epidemiologists",III,126006
enterprisemanagementsystems,Enterprise Management Systems,1,2,Software Developers,II,102627
enterprisevaluesystems,Enterprise Value Systems,2,2,Software Developers,I,79851
envogueinternational,Envogue International,2,2,Fashion Designers,II,77730
eogresources,EOG Resources,15,2,Database Architects,III,136620
eparchyofsaintmaronofbrooklyn,Eparchy of Saint Maron of Brooklyn,1,2,Clergy,I,39291.200000000004
epccolumbia,EPC Columbia,2,2,Industrial Engineers,NA,63096
epcottechnologies,EPCOT TECHNOLOGIES,12,2,Software Developers,I,85363
epicgroupofcompanies,EPIC Group Of Companies,2,2,Computer Systems Analysts,I,69992
epicmedicalresearch,EPIC MEDICAL RESEARCH,1,2,Business Intelligence Analysts,II,92040
epicsai,EPICSAI,3,2,Computer Programmers,II,93454
equinoxys,Equinoxys,1,2,Software Developers,II,124738
erieindemnitycompany,Erie Indemnity Company,7,2,Software Developers,III,102274
erptechsolutions,ERP TECH SOLUTIONS,3,2,Software Developers,II,91645
eshares,eShares,13,2,Computer and Information Systems Managers,IV,188885
esperanzahealthcenters,Esperanza Health Centers,4,2,Mental Health Counselors,III,64438
estuate,Estuate,4,2,Software Developers,I,105227
etchedai,Etched.ai,18,2,Computer Hardware Engineers,IV,213595
euclidtechnologies,Euclid Technologies,1,2,Computer Systems Engineers/Architects,III,121514
eurofinseagmaterialsscience,Eurofins EAG Materials Science,1,2,Materials Scientists,I,109658
evacaregroup,Eva Care Group,1,2,Accountants and Auditors,II,67870.40000000001
everestconsulting,Everest Consulting,1,2,Software Quality Assurance Analysts and Testers,II,83533
evidenceforhealthcareimprovement,Evidence for Healthcare Improvement,2,2,Bioinformatics Scientists,II,89460.5
evidencephysicaltherapy,Evidence Physical Therapy,1,2,Physical Therapists,I,81536
evoketechnologies,Evoke Technologies,8,2,Software Developers,II,91250
evolutyzcorp,Evolutyz Corp,7,2,Software Developers,II,106558
evonikcorporation,EVONIK CORPORATION,2,2,Bioengineers and Biomedical Engineers,III,115065.5
excotechnologies,EX.CO Technologies,1,2,Data Scientists,II,111966
exeliqconsulting,EXELIQ CONSULTING,4,2,Software Developers,II,94536
exelonbusinessservicescompany,Exelon Business Services Company,16,2,Software Developers,II,123718.5
expressglobalsolutions,Express Global Solutions,1,2,Computer Systems Analysts,I,93974
exxonmobiltechnologyandengineeringcompany,ExxonMobil Technology and Engineering Company,2,2,Chemical Engineers,III,146286.5
exyteus,Exyte U.S.,4,2,"Architects, Except Landscape and Naval",III,86538.5
ezcloudsolutions,EZCloud Solutions,1,2,Business Intelligence Analysts,II,96678
fagroncompoundingservices,Fagron Compounding Services,1,2,Industrial Engineers,II,83949
faithregionalphysicianservices,Faith Regional Physician Services,5,2,Hospitalists,II,228155
fanaticsretailgroupfulfillment,Fanatics Retail Group Fulfillment,23,2,Software Developers,III,141960
faradayfuture,Faraday & Future,9,2,Architectural and Engineering Managers,II,126942
farmersgroup,Farmers Group,45,2,Software Developers,III,127878
farmng,Farm-NG,2,2,Architectural and Engineering Managers,II,139828
fashionnova,Fashion Nova,2,2,Data Scientists,II,103511
fastly,Fastly,3,2,Software Developers,IV,155709
fathom,Fathom,1,2,Compensation and Benefits Managers,II,156894
faureciaemissionscontrolsystemsna,"Faurecia Emissions Control Systems, NA",1,2,Industrial Engineers,II,89502
fciusa,FCI USA,5,2,Sales Engineers,IV,119552
federalhomeloanbankofdallas,Federal Home Loan Bank of Dallas,2,2,Economists,II,95253.5
federalhomeloanbanksanfrancisco,Federal Home Loan Bank San Francisco,4,2,Software Developers,III,172234.5
fermiresearchalliance,Fermi Research Alliance,6,2,Physicists,I,47258
fetchrewards,Fetch Rewards,13,2,Software Developers,II,106558
fidelitydigitalassetservices,Fidelity Digital Asset Services,1,2,Data Scientists,II,104645
fidelitydigitalassetservicesdbafidelityinvestments,Fidelity Digital Asset Services d/b/a Fidelity Investments,1,2,Data Scientists,IV,170373
fidelityinvestmentsinstitutionaloperationscompany,Fidelity Investments Institutional Operations Company,2,2,Software Developers,III,131310.5
fidelityinvestmentsinstitutionaloperationscompanydbafidelityinvestments,Fidelity Investments Institutional Operations Company d/b/a Fidelity Investments,8,2,Data Scientists,III,108149.5
fidelityservicecompany,Fidelity Service Company,3,2,Computer Systems Engineers/Architects,IV,136136
fidelityservicecompanydbafidelityinvestments,Fidelity Service Company. d/b/a Fidelity Investments,3,2,Software Developers,II,115787
fidelityworkplaceinvesting,Fidelity Workplace Investing,4,2,Software Developers,III,141170
fidelityworkplaceinvestingdbafidelityinvestments,Fidelity Workplace Investing d/b/a Fidelity Investments,10,2,Software Developers,III,134524
fifththirdbanknationalassociation,"Fifth Third Bank, National Association",23,2,Software Developers,III,112840
figma,Figma,16,2,Software Developers,IV,180960
finovaxtechnologies,Finovax Technologies,2,2,Business Intelligence Analysts,II,128398.4
finsoftconsultants,FINSOFT CONSULTANTS,8,2,Network and Computer Systems Administrators,II,102044.9
firstcloudtech,FIRST CLOUD TECH,5,2,Computer Systems Engineers/Architects,II,90002
firsthelpfinancial,First Help Financial,6,2,Information Technology Project Managers,II,115148.5
firstnationalbankofomaha,First National Bank of Omaha,12,2,Software Developers,IV,116836
fitchgroupservices,Fitch Group Services,7,2,Data Scientists,II,126360
flatironhealth,Flatiron Health,2,2,Software Developers,III,165900.5
flexcompute,Flexcompute,1,2,Physicists,III,176322
flexeraglobal,Flexera Global,16,2,Software Developers,II,103210
flexton,FLEXTON,7,2,Computer Programmers,II,85530
floridahealthsciencescenter,Florida Health Sciences Center,4,2,Management Analysts,III,91780
flukeelectronicscorporation,Fluke Electronics Corporation,6,2,Human Factors Engineers and Ergonomists,II,102523
fmctechnologies,FMC Technologies,6,2,Accountants and Auditors,III,121503
focuskpi,FocusKPI,1,2,Operations Research Analysts,I,75067
focussofttech,Focussoft Tech,3,2,Computer Programmers,II,69555
footlockercorporateservices,Foot Locker Corporate Services,17,2,Software Developers,III,122179
fortisview,Fortisview,6,2,Software Developers,II,108867
fortna,Fortna,1,2,Software Developers,IV,142168
foxconnassembly,Foxconn Assembly,4,2,Electrical Engineers,I,113183.5
franciscanmedicalgroup,Franciscan Medical Group,5,2,General Internal Medicine Physicians,NA,239200
franklininfotech,FRANKLIN INFOTECH,7,2,Software Developers,II,106558
freemanhealthsystem,Freeman Health System,3,2,Cardiologists,III,149760
freepointcommodities,FREEPOINT COMMODITIES,2,2,Financial Risk Specialists,II,114712
freeportmcmoranbagdad,Freeport-McMoRan Bagdad,1,2,Electrical Engineers,III,117666
freseniuskabiusa,Fresenius Kabi USA,7,2,Computer Systems Analysts,IV,117016
freshworks,Freshworks,7,2,Marketing Managers,III,167544
frontendarts,Frontend Arts,5,2,Computer Systems Engineers/Architects,II,112944
frontierworks,Frontier Works,2,2,Software Developers,I,84490
frosteddbawhop,Frosted. d/b/a Whop,1,2,Information Technology Project Managers,IV,153046
fugrousaland,Fugro USA Land,2,2,Architectural and Engineering Managers,II,127805.5
futuremindz,Futuremindz,7,2,Software Developers,II,105997
futureoflifeinstitute,Future of Life Institute,2,2,Market Research Analysts and Marketing Specialists,I,94338.5
g2o,G2O,6,2,Database Architects,II,105435
g3soft,G3 Soft,7,2,Software Developers,I,95493
galaxesolutions,GalaxE.Solutions,15,2,Software Developers,II,114156
gallaudetuniversity,Gallaudet University,2,2,"Compensation, Benefits, and Job Analysis Specialists",II,73514.5
gallegasoftewaresolutions,GALLEGA SOFTEWARE SOLUTIONS,1,2,Software Developers,II,105997
gallegasoftwaresolutions,Gallega Software Solutions,5,2,Software Developers,II,105997
gapsolutions,GAP Solutions,8,2,Technical Writers,II,87693
gardnerfamilyhealthnetwork,Gardner Family Health Network,2,2,Mental Health Counselors,III,77730
gartechnologies,GAR Technologies,2,2,Database Administrators,I,63835
garver,Garver,3,2,Civil Engineers,II,81827
garveyelementaryschooldistrict,Garvey Elementary School District,5,2,"Elementary School Teachers, Except Special Education",I,64400
gdmobilesecurityamerica,G D Mobile Security America,1,2,Quality Control Systems Managers,III,107390
geekplusamerica,Geekplus America,5,2,Industrial Engineers,II,73237
geminiconsultingservices,Gemini Consulting & Services,1,2,Software Quality Assurance Analysts and Testers,II,103418
generalmills,General Mills,10,2,Software Developers,II,109668
genesismedicalgroup,Genesis Medical Group,1,2,Cardiologists,NA,239200
genesistherapeutics,Genesis Therapeutics,2,2,Bioinformatics Scientists,II,112257.79999999999
genfare,Genfare,2,2,Sales Engineers,II,111270
genies,Genies,2,2,Software Developers,III,149552
genscriptusa,Genscript USA,5,2,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",II,80600
genthermincorporated,Gentherm Incorporated,6,2,Mechanical Engineers,II,87672
genworthnorthamericacorporation,GENWORTH NORTH AMERICA CORPORATION,7,2,Software Developers,III,120349
geomagicallabs,GEOMAGICAL LABS,1,2,Graphic Designers,IV,124218
georgiacollegestateuniversity,GEORGIA COLLEGE & STATE UNIVERSITY,3,2,"Communications Teachers, Postsecondary",I,49410
georgiagwinnettcollege,GEORGIA GWINNETT COLLEGE,3,2,"Chemistry Teachers, Postsecondary",I,62490
ghazalrodgersandwatanabedentalcorporation,"Ghazal, Rodgers, and Watanabe Dental Corporation",9,2,"Dentists, General",II,197433.6
gilbarco,GILBARCO,4,2,Information Technology Project Managers,IV,112523.5
glacialridgehealthsystem,GLACIAL RIDGE HEALTH SYSTEM,2,2,Medical and Clinical Laboratory Technologists,II,56950.4
glassdoor,Glassdoor,20,2,Data Scientists,II,96012.5
glendaleelementaryschooldistrict,Glendale Elementary School District,1,2,"Elementary School Teachers, Except Special Education",I,45950
globalbusinesstechnologiesassociates,Global Business & Technologies Associates,2,2,Software Developers,I,95045.6
globalfishingwatch,Global Fishing Watch,1,2,Data Scientists,II,88920
globalfoundriesus2,GlobalFoundries U.S. 2,4,2,"Electronics Engineers, Except Computer",IV,121784
globalsumitechnologies,GLOBAL SUMI TECHNOLOGIES,16,2,Software Developers,I,91853
globaltekforcecom,GLOBALTEKFORCECOM,8,2,Software Developers,III,127878
globaltouchpoints,Global Touchpoints,2,2,Software Developers,I,81026.5
globalvox,Global Vox,1,2,Management Analysts,I,49629
globusmedical,Globus Medical,6,2,Information Technology Project Managers,II,88379
glumac,Glumac,2,2,Electrical Engineers,I,106881
gobrands,GoBrands,5,2,Database Architects,IV,158642
gocool,GOCOOL,2,2,Computer and Information Systems Managers,I,131206.5
gofundme,GoFundMe,5,2,Computer and Information Systems Managers,IV,198411
gokatech,Gokatech,8,2,Software Developers,II,87110.5
golbarassociates,Golbar & Associates,1,2,Accountants and Auditors,II,78978
gomiapp,GOMIAPP,6,2,Software Developers,II,106943.5
goodreads,GOODREADS,1,2,Computer and Information Systems Managers,II,200304
goodrx,GoodRx,10,2,Software Developers,IV,165756.5
goodsamaritanhospital,Good Samaritan Hospital,2,2,Medical and Clinical Laboratory Technologists,III,61568
goodwinprocterllp,Goodwin Procter LLP,4,2,Lawyers,II,174928
gooseheadinsuranceagency,Goosehead Insurance Agency,5,2,Information Technology Project Managers,IV,136136
gouldspumpsipg,Goulds Pumps IPG,1,2,Industrial Production Managers,IV,146078
governmentsystemstechnology,Government Systems Technology,6,2,Software Developers,I,105809.5
grabminds,Grab Minds,2,2,Software Developers,I,95690.5
gracelanduniversity,Graceland University,2,2,"Business Teachers, Postsecondary",I,32470
graduatemanagementadmissioncouncil,Graduate Management Admission Council,3,2,Market Research Analysts and Marketing Specialists,II,75546
gramener,Gramener,2,2,Business Intelligence Analysts,I,106797.5
grandit,GRAND IT,8,2,Software Developers,II,104312
granvillecountypublicschools,Granville County Public Schools,1,2,"Secondary School Teachers, Except Special and Career/Technical Education",I,41960
granvillecountypublicschoolssuperintendent,Granville County Public Schools Superintendent,2,2,"Secondary School Teachers, Except Special and Career/Technical Education",III,55135
graphiant,Graphiant,2,2,Computer and Information Systems Managers,IV,185276
graphicpackaginginternational,Graphic Packaging International,7,2,Software Developers,III,123531
greekorthodoxarchdioceseofamerica,Greek Orthodox Archdiocese of America,1,2,Instructional Coordinators,II,79643
greshamsmith,Gresham Smith,4,2,Civil Engineers,II,79310
greymattersolutions,Grey Matter Solutions,3,2,ComputerProgrammers,II,105997
greypineholdings,Grey Pine Holdings,1,2,Occupational Therapists,II,109907.20000000001
groceryworkscomoperatingcompany,GroceryWorks.com Operating Company,2,2,Operations Research Analysts,II,88660
groundworksoperations,Groundworks Operations,1,2,Marketing Managers,II,125944
groupinsolutions,GROUPIN SOLUTIONS,4,2,Software Developers,II,105206
grovetechnicalresources,Grove Technical Resources,1,2,Validation Engineers,III,105290
gslvtechnologies,GSLV Technologies,1,2,Software Developers,I,82971
guidehouse,Guidehouse,5,2,Operations Research Analysts,III,125632
guilfordcharterschool,Guilford Charter School,1,2,"Middle School Teachers, Except Special and Career/Technical Education",I,45240
guitarcenter,GUITAR CENTER,5,2,Software Developers,IV,138486
gulfsouthpipelinecompany,GULF SOUTH PIPELINE COMPANY,3,2,Financial Quantitative Analysts,III,126589
gulfsouthpipelinecompanylp,Gulf South Pipeline Company LP,3,2,Software Developers,III,126589
gulfstatesconferenceofseventhdayadventists,Gulf States Conference of Seventh-day Adventists,2,2,Clergy,II,57054
guninainnovative,Gunina Innovative,1,2,Information Technology Project Managers,II,84115
guycarpentercompany,Guy Carpenter & Company,5,2,Actuaries,III,124623
gwinnettcountyboardofeducation,GWINNETT COUNTY BOARD OF EDUCATION,3,2,"Middle School Teachers, Except Special and Career/Technical Education",I,55550
gwinnettcountypublicschools,GWINNETT COUNTY PUBLIC SCHOOLS,4,2,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",I,54495
gwinnettcountypublicschoolsobogwinnettcountyboardofeducation,Gwinnett County Public Schools (o/b/o Gwinnett County Board of Education),3,2,"Secondary School Teachers, Except Special and Career/Technical Education",I,53590
gxologisticssupplychain,GXO Logistics Supply Chain,4,2,Data Scientists,IV,105560
haloindustries,Halo Industries,1,2,Marketing Managers,II,190445
hanchettentrysystems,Hanchett Entry Systems,1,2,Marketing Managers,I,94162
handheldproducts,Hand Held Products,3,2,Software Developers,II,112986
hanitstaffing,HAN IT STAFFING,12,2,Software Developers,I,95492.79999999999
hannonarmstrongcapital,Hannon Armstrong Capital,1,2,Financial Managers,NA,212986
hanwhaqcellsgeorgia,Hanwha Q CELLS Georgia,4,2,Logisticians,I,52603
harmanbeckerautomotivesystems,Harman Becker Automotive Systems,16,2,Software Developers,IV,122169
harveymuddcollege,Harvey Mudd College,4,2,Biochemists and Biophysicists,II,89433.5
harveynash,Harvey Nash,20,2,Software Developers,III,109262.4
hashcodetechnologies,Hashcode Technologies,1,2,Software Developers,II,99965
hashtek,Hashtek,1,2,Computer Systems Engineers/Architects,II,77293
havasmediagroupusa,Havas Media Group USA,4,2,Business Intelligence Analysts,II,111966
hazenmemorialhospitalassociation,HAZEN MEMORIAL HOSPITAL ASSOCIATION,2,2,Medical and Clinical Laboratory Technologists,II,58656
healthatscalecorporation,Health at Scale Corporation,1,2,Human Factors Engineers and Ergonomists,III,142293
healthcatalyst,Health Catalyst,18,2,Business Intelligence Analysts,II,85831
healthdatavision,Health Data Vision,2,2,Software Developers,II,139245.5
henkelcorporation,Henkel Corporation,4,2,Business Intelligence Analysts,III,107953.5
heptawaretechnologies,Heptaware Technologies,1,2,Computer Programmers,II,79706
herberthlehmancollege,Herbert H. Lehman College,1,2,"Business Teachers, Postsecondary",NA,98309
hexacorp,HEXACORP,1,2,"Computer Occupations, All Other",II,77958
hexagonmanufacturingintelligence,Hexagon Manufacturing Intelligence,10,2,Mechanical Engineers,II,93361
hhaassociates,HHA Associates,2,2,Hospitalists,NA,239200
hiddenlaketechnologies,HIDDEN LAKE TECHNOLOGIES,1,2,Business Intelligence Analysts,I,82763
highmark,Highmark,2,2,Business Intelligence Analysts,III,120983.5
highnoteplatform,Highnote Platform,5,2,Software Developers,IV,206315
highspot,Highspot,11,2,Software Developers,IV,149781
hinge,Hinge,3,2,Software Developers,II,123656
hitachivantara,Hitachi Vantara,12,2,Computer Network Architects,II,127982.5
hititechnologies,HITI TECHNOLOGIES,1,2,Software Developers,I,84094
hoganlovellsusllp,Hogan Lovells US LLP,1,2,Lawyers,III,235373
holcimus,Holcim (US),2,2,Industrial Production Managers,II,115169.5
hologic,Hologic,13,2,Validation Engineers,II,113984
holyfamilycatholicschoolsdubuqueiowa,"Holy Family Catholic Schools, Dubuque, Iowa",1,2,"Elementary School Teachers, Except Special Education",II,50820
honeyreysolutions,Honeyrey Solutions,2,2,Software Developers,II,105997
hopidayschool,Hopi Day School,2,2,"Elementary School Teachers, Except Special Education",I,41845
horizonscienceacademyoflorain,HORIZON SCIENCE ACADEMY OF LORAIN,2,2,"Secondary School Teachers, Except Special and Career/Technical Education",I,53550
horizontalintegration,Horizontal Integration,2,2,Database Architects,IV,156873.5
hospitalistphysiciansofindianapc,"Hospitalist Physicians of Indiana, PC",2,2,Hospitalists,NA,239200
hospitalsistershealthsystem,Hospital Sisters Health System,1,2,Bioengineers and Biomedical Engineers,II,69284.8
hover,Hover,3,2,Software Developers,III,139589
hovione,Hovione,2,2,Biochemists and Biophysicists,II,88535
hple,HPLE,1,2,Construction Managers,I,87838
hpsinvestmentpartners,HPS INVESTMENT PARTNERS,1,2,Financial and Investment Analysts,III,146141
hrgiants,HR GIANTS,1,2,Software Developers,II,96512
htowntechnologies,H-TOWN TECHNOLOGIES,7,2,Software Developers,II,103210
hubgroup,Hub Group,6,2,Software Developers,III,138351.5
hudsoninstitute,Hudson Institute,2,2,Political Scientists,I,60965
hutchinsonregionalmedicalcenter,Hutchinson Regional Medical Center,3,2,Medical and Clinical Laboratory Technologists,II,67288
hyosunghicoltd,Hyosung HICO Ltd,1,2,Business Intelligence Analysts,I,51064
hyundaiamericatechnicalcenter,Hyundai America Technical Center,1,2,Automotive Engineers,III,108826
hyzonmotors,Hyzon Motors,2,2,"Engineers, All Other",II,84167
hyzonmotorsusa,Hyzon Motors USA,7,2,Mechanical Engineers,II,87027
i3globaltech,I3GLOBALTECH,4,2,Software Developers,I,92373
ibaseoperationscorp,Ibase Operations Corp,17,2,Software Quality Assurance Analysts and Testers,II,106517
ibaseoperationscorpdbaqualitestgroup,Ibase Operations Corp. (d/b/a Qualitest Group),6,2,Software Quality Assurance Analysts and Testers,II,115092
iberiaparishschooldistrict,Iberia Parish School District,2,2,"Elementary School Teachers, Except Special Education",I,45040
iccnta,ICC NTA,2,2,Industrial Engineers,II,73871.5
icedataanalytics,ICE DATA ANALYTICS,10,2,Software Developers,IV,149760
icloudtechnologiescorp,ICloud Technologies Corp,11,2,Software Quality Assurance Analysts and Testers,II,86923
iconma,ICONMA,7,2,Software Developers,II,105996.8
icwgroupholdings,ICW GROUP HOLDINGS,11,2,Information Technology Project Managers,IV,136906
ideahelix,IDEA HELIX,4,2,Software Developers,II,109179
ideatetechnologies,IDEATE TECHNOLOGIES,10,2,Software Developers,II,88764
idme,ID.me,3,2,Computer Systems Engineers/Architects,IV,191818
idwteam,IDWTEAM,4,2,Data Scientists,II,85664.5
igrowvirtualitsolutions,IGROW VIRTUAL IT SOLUTIONS,1,2,Computer Systems Analysts,II,100714
iheartmediamanagementservices,IHeartMedia Management Services,6,2,Software Developers,III,120827
ihsglobal,IHS Global,11,2,Software Developers,III,117021
ikontechservices,IKON-TECH Services,11,2,Software Developers,II,103210
ilantusservicesprivatelimited,Ilantus Services Private Limited,2,2,Information Technology Project Managers,III,124737.5
ilifetechnologies,iLife Technologies,2,2,Computer and Information Systems Managers,II,127493.5
illinoistoolworks,Illinois Tool Works,10,2,Mechanical Engineers,II,95233
illinoiswesleyanuniversity,Illinois Wesleyan University,1,2,"Sociology Teachers, Postsecondary",I,55180
illumio,Illumio,12,2,Software Developers,II,146307
ilogic,ILOGIC,6,2,Information Technology Project Managers,II,86444.5
imperativecare,Imperative Care,3,2,Manufacturing Engineers,III,142293
impetustechnologies,Impetus Technologies,11,2,Software Developers,II,109762
incandescenttechnologies,Incandescent Technologies,14,2,Software Developers,II,95493
indegene,INDEGENE,9,2,Information Technology Project Managers,II,123656
independencebluecross,Independence Blue Cross,7,2,Database Architects,IV,146078
independentschooldistrictno191,Independent School District No. 191,2,2,"Special Education Teachers, Secondary School",NA,46060
indusbusinesssolutions,INDUS BUSINESS SOLUTIONS,2,2,Data Scientists,I,88067
indusgroup,INDUS GROUP,18,2,Software Developers,II,84385.5
indusrivertechnologiea,Indus River Technologiea,1,2,Software Developers,II,105997
indusrivertechnologies,Indus River Technologies,6,2,Database Administrators,II,108253.5
infiniteservices,Infinite Services,2,2,Occupational Therapists,II,89835.2
infomarines,InfoMarines,3,2,Computer Programmers,II,94369.59999999999
infoorigin,Info Origin,2,2,Computer Systems Analysts,II,101421
infovity,Infovity,3,2,Management Analysts,IV,134014
infowavesystems,Infowave Systems,2,2,Software Developers,I,94151.5
infratechinternational,INFRATECH INTERNATIONAL,5,2,Civil Engineers,I,48443
infylogycorp,Infylogy Corp,10,2,Software Developers,II,104801
infyshine,INFYSHINE,5,2,Software Developers,I,83658
ingenuspharmaceuticalsnj,INGENUS PHARMACEUTICALS NJ,3,2,Chemists,I,75816
initechglobal,Initech Global,5,2,Software Developers,II,85426
innopeaktechnology,InnoPeak Technology,7,2,Computer and Information Research Scientists,II,185037
inrix,INRIX,4,2,Software Developers,II,137259
insightchicago,Insight Chicago,1,2,"Medical Scientists, Except Epidemiologists",I,56368
insigniaconsultancysolutions,Insignia Consultancy Solutions,3,2,Software Developers,II,93850
instituteofgastechnology,Institute of Gas Technology,3,2,Data Scientists,II,93974
instrumentationlaboratorycompany,Instrumentation Laboratory Company,2,2,Manufacturing Engineers,III,131164.5
inteletechglobal,INTELETECH GLOBAL,1,2,Software Developers,II,105997
intelixsystems,InteliX Systems,1,2,Software Developers,II,93059
intellisofttechnologies,Intellisoft Technologies,11,2,Software Developers,II,95680
intellyk,Intellyk,15,2,Computer Systems Analysts,II,89814
inteplastgroupcorporation,Inteplast Group Corporation,5,2,Industrial Engineers,I,75234
inteplastmanagementservices,Inteplast Management Services,2,2,Accountants and Auditors,I,73049.5
intergraphcorporation,Intergraph Corporation,7,2,Software Developers,II,93766
internationalinstituteforthebrainltd,"International Institute for the Brain, LTD",6,2,Physical Therapists,I,77979
internationalleadershipoftexas,International Leadership of Texas,2,2,"Education Administrators, Kindergarten through Secondary",I,53660
internationalmotors,International Motors,20,2,Software Developers,IV,132912
internationalrescuecommittee,International Rescue Committee,7,2,Chief Executives,I,102898
internationalsoftwaresystems,INTERNATIONAL SOFTWARE SYSTEMS,7,2,Software Developers,II,97157
