instnm,ein
Eagle Gate College-Boise Campus,870678910
Eagle Gate College-Layton,870678910
Eagle Gate College-Murray,870678910
Earlham College,350868073
East Arkansas Community College,710450242
East Carolina University,566000403
East Central College,430910391
East Central Community College,646000329
East Central University,736017987
East Georgia State College,581138587
East Los Angeles College,952587353
East Mississippi Community College,646000330
East Ohio College,341425951
East Stroudsburg University of Pennsylvania,232504462
East Tennessee State University,626021046
East Texas Baptist University,750859801
East Texas Cosmetology College,813222311
East Valley Institute of Technology,860679348
East West College of Natural Medicine,473069399
East West College of the Healing Arts,931024535
East-West Healing Arts Institute,391980014
East-West University,391353508
Eastern Arizona College,866000754
Eastern Center for Arts and Technology,231883375
Eastern Connecticut State University,61277820
Eastern Florida State College,590920675
Eastern Gateway Community College,341015707
Eastern Illinois University,376013590
Eastern International College-Jersey City,223145831
Eastern Iowa Community College District,420924364
Eastern Kentucky University,611011211
Eastern Maine Community College,10416015
Eastern Mennonite University,540575812
Eastern Michigan University,386005986
Eastern Nazarene College,42105777
Eastern New Mexico University Ruidoso Branch Community College,856000286
Eastern New Mexico University-Main Campus,856000286
Eastern New Mexico University-Roswell Campus,850400208
Eastern Oklahoma County Technology Center,731095110
Eastern Oklahoma State College,474757537
Eastern Oregon University,936001786
Eastern School of Acupuncture and Traditional Medicine,223556923
Eastern Shore Community College,541268269
Eastern Suffolk BOCES,116000129
Eastern Suffolk BOCES,116000129
Eastern Suffolk BOCES,116000129
Eastern University,231409675
Eastern Virginia Career College,541838242
Eastern Virginia Medical School,546055378
Eastern Washington University,916000624
Eastern West Virginia Community and Technical College,550773516
Eastern Wyoming College,836000874
Eastland-Fairfield Career and Technical Schools,310717113
Eastwick College-Hackensack,223475958
Eastwick College-Nutley,223378926
Eastwick College-Ramsey,222620895
Ecclesia College,710477536
Eckerd College,590859121
ECPI University,541707314
Ecumenical Theological Seminary,382385150
Eden Theological Seminary,430654855
Edge Academy of Beauty,822987312
Edgecombe Community College,560897301
Edgewood College,390806202
Edison State Community College,310836468
Edmonds College,910825212
EDP School,113392105
EDP University of Puerto Rico Inc-San Juan,660277132
EDP University of Puerto Rico Inc-San Sebastian,660277132
EDP University of Puerto Rico-Caguas,660277132
EDP University of Puerto Rico-Humacao,660277132
EDP University of Puerto Rico-Manati,660277132
EDP University of Puerto Rico-Villalba,660277132
Educators of Beauty College of Cosmetology-Peru,463807286
Educators of Beauty College of Cosmetology-Rockford,463807286
Educators of Beauty College of Cosmetology-Sterling,473807286
Edward Via College of Osteopathic Medicine,542052107
Edward Waters University,591146751
EHOVE Career Center,340979430
EINE Inc,43176543
El Camino Community College District,956001060
El Paso Community College,741690850
Elaine Sterling Institute,262218455
Electrical and HVAC/R Training Center,113469596
Elevate Salon Institute,474682306
Elevate Salon Institute,811285943
Elgin Community College,362600170
Elim Bible Institute and College,462338120
Elite Academy of Hair Design,463887482
Elite Beauty College,842915475
Elite College of Cosmetology,621660953
Elite Cosmetology School,800206355
Elite Cosmetology  Barber & Spa Academy,300637429
Elite School of Cosmetology,810609952
Elite Welding Academy,510606029
Elite Welding Academy LLC,510606029
Elite Welding Academy South Point,510606029
Elizabeth City State University,561047680
Elizabethtown College,231352632
Elizabethtown Community and Technical College,611320380
Ellsworth Community College,420926714
Elmhurst University,362169145
Elmira College,160743996
Elon University,560532303
Elyon College,800820194
Embry-Riddle Aeronautical University-Daytona Beach,590936101
Embry-Riddle Aeronautical University-Prescott,590936101
Embry-Riddle Aeronautical University-Worldwide,590936101
Emerald Coast Technical College,596000893
Emerson College,41286950
Emily Griffith Technical College,846001099
Emma's Beauty Academy-Juana Diaz,660527034
Emma's Beauty Academy-Mayaguez,660507098
Emmanuel College,42105769
Emmanuel University,580633977
Emmaus Bible College,362270695
Emory & Henry University,540505892
Emory University,580566256
Emory University-Oxford College,580566256
Emperor's College of Traditional Oriental Medicine,953891101
Empire Beauty  School-Lehigh Valley,208939053
Empire Beauty School-Augusta,208939053
Empire Beauty School-Aurora,208939053
Empire Beauty School-Avondale,208939053
Empire Beauty School-Bloomfield,208939053
Empire Beauty School-Bloomington,208939053
Empire Beauty School-Brooklyn,208939053
Empire Beauty School-Buffalo,208939053
Empire Beauty School-Center City Philadelphia,208939053
Empire Beauty School-Chandler,208939053
Empire Beauty School-Charlotte,208939053
Empire Beauty School-Cheltenham,208939053
Empire Beauty School-Chenoweth,208939053
Empire Beauty School-Cherry Hill,208939053
Empire Beauty School-Cincinnati,310738186
Empire Beauty School-Concord,208939053
Empire Beauty School-Dixie,208939053
Empire Beauty School-E Memphis,208939053
Empire Beauty School-Elizabethtown,208939053
Empire Beauty School-Florence,208939053
Empire Beauty School-Glen Burnie,208939053
Empire Beauty School-Green Bay,208939053
Empire Beauty School-Gwinnett,208939053
Empire Beauty School-Hanover,208939053
Empire Beauty School-Harrisburg,208939053
Empire Beauty School-Hooksett,20501130
Empire Beauty School-Jackson,208939053
Empire Beauty School-Kennesaw,208939053
Empire Beauty School-Laconia,20501130
Empire Beauty School-Lakeland,208939053
Empire Beauty School-Lancaster,208939053
Empire Beauty School-Lebanon,208939053
Empire Beauty School-Littleton,208939053
Empire Beauty School-Maine,208939053
Empire Beauty School-Malden,208939053
Empire Beauty School-Manhattan,208939053
Empire Beauty School-Michigan,208939053
Empire Beauty School-Midlothian,208939053
Empire Beauty School-Milwaukee,208939053
Empire Beauty School-Monroeville,208939053
Empire Beauty School-Morrow,208939053
Empire Beauty School-Nashville,208939053
Empire Beauty School-NE Philadelphia,208939053
Empire Beauty School-Newport News,208939053
Empire Beauty School-North Hills,208939053
Empire Beauty School-Northlake,208939053
Empire Beauty School-Owings Mills,208939053
Empire Beauty School-Peekskill,133172373
Empire Beauty School-Pineville,208939053
Empire Beauty School-Pottsville,208939053
Empire Beauty School-Queens,208939053
Empire Beauty School-Reading,208939053
Empire Beauty School-Richmond,208939053
Empire Beauty School-Rochester,208939053
Empire Beauty School-Savannah,208939053
Empire Beauty School-Shamokin Dam,208939053
Empire Beauty School-Somersworth,20501130
Empire Beauty School-Speedway,208939053
Empire Beauty School-Spring Lake Park,208909053
Empire Beauty School-Springfield,208939053
Empire Beauty School-Stone Park,208939053
Empire Beauty School-Tampa,208939053
Empire Beauty School-Thornton,208939053
Empire Beauty School-Tucson,208939053
Empire Beauty School-Union,208939053
Empire Beauty School-Vernon Hills,208939053
Empire Beauty School-Virginia Beach,208939053
Empire Beauty School-Warwick,208939053
Empire Beauty School-West Greensboro,208939053
Empire Beauty School-West Mifflin,208939053
Empire Beauty School-West Palm,208939053
Empire Beauty School-Winston-Salem,208939053
Empire Beauty School-Wyoming Valley,208939053
Empire Beauty School-York,208939053
Empire State University,146013200
Employment Solutions-College for Technical Education,611031382
Emporia State University,486029925
Endicott College,42103567
Ensign College,870280678
Enterprise State Community College,630504851
Entourage Institute of Beauty and Esthetics,823393843
Epic Bible College & Graduate School,592161558
Episcopal Theological Seminary of the Southwest,741238448
Eric Fisher Academy,205588108
Erie 1 BOCES,166010255
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,166012935
Erie Community College,113682643
Erie Institute of Technology Inc,251303147
Erikson Institute,362593545
Erskine College,570314390
Erwin Technical College,596000660
Escuela de Artes Plasticas y Diseno de Puerto Rico,660478120
Escuela de Peritos Electricistas de Isabela Inc,660492334
Escuela De Troqueleria Y Herramentaje,660580431
Escuela Hotelera de San Juan,660573895
Escuela Tecnica de Electricidad,660425098
Essex County College,221821292
Esteem Academy of Beauty,463795313
Estelle Medical Academy,364300473
Estelle Skin Care and Spa Institute,300736715
Estes Institute of Cosmetology Arts and Science,942382521
Estrella Mountain Community College,860185552
ETI School of Skilled Trades,113830016
ETI Technical College,341701962
Euphoria Institute of Beauty Arts & Sciences-Summerlin,203805612
Eureka College,370673484
European Medical School of Massage,465097484
Evangel University,440589787
Evangel University-College of Online Learning,440589787
Evangel University-James River Assembly of God Church,-1
Evans Hairstyling College-Cedar City,870493681
Evans Hairstyling College-Rexburg,261574055
Evans Hairstyling College-St George,202237977
Everett Community College,910759103
Everglades University,650216638
Evergreen Beauty and Barber College-Everett,911737028
Evergreen Valley College,770100756
Eves College of Hairstyling,731470646
Evolve Beauty Academy,273302448
Evvaylois Academy School of Beauty,811154895
Excelsior University,141599643
Exposito School of Hair Design,481264615
Fairfield University,60646623
Fairleigh Dickinson University-Florham Campus,221494434
Fairleigh Dickinson University-Metropolitan Campus,221494434
Fairmont State University,556000778
Faith Baptist Bible College and Theological Seminary,470394397
Faith International University,911559533
Falcon Institute of Health and Science,461090921
Family of Faith Christian University,731523469
Farmingdale State College,146013200
Fashion Institute of Technology,132556338
Faulkner University,630329409
Faust Institute of Cosmetology-Spirit Lake,421232259
Fayette County Career & Technical Institute Practical Nursing Program,256009917
Fayette Institute of Technology,556000315
Fayetteville State University,561238736
Fayetteville Technical Community College,560791849
Feather River Community College District,800329969
Federico Beauty Institute,680084285
Felbry College,208893061
Felician University,221912028
Ferris State University,386005159
Ferrum College,540506457
FIDM-Fashion Institute of Design & Merchandising,952700597
Fielding Graduate University,952882724
FINE Mortuary College,43315938
Finger Lakes Community College,161336614
Firelands Regional Medical Center School of Nursing,344428218
First Class Cosmetology School,352217797
First Coast Barber Academy,264716504
First Coast Technical College,591276697
First Institute of Travel  Inc.,363248432
Fisher College,42005934
Fisk University,620202000
Fitchburg State University,46002284
Five Branches University,455273465
Five Towns College,112249389
Flagler College,591157081
Flagler Technical College,596000609
Flathead Valley Community College,810299199
Fletcher Technical Community College,720772772
Flint Hills Technical College,522441491
Florence-Darlington Technical College,570424007
Florida Academy,650623532
Florida Academy of Health & Beauty,650858015
Florida Academy of Nursing,455130979
Florida Agricultural and Mechanical University,623751831
Florida Atlantic University,650385507
Florida Barber Academy,650934877
Florida College,590737882
Florida College of Integrative Medicine,593018124
Florida Education Institute,650527372
Florida Gateway College,590971286
Florida Gulf Coast University,650753801
Florida Institute of Recording Sound and Technology,203504701
Florida Institute of Technology,596046500
Florida Institute of Technology-Online,596046500
Florida International Training Institute,800370275
Florida International University,650177616
Florida Memorial University,590668483
Florida National University-Main Campus,650021295
Florida Panhandle Technical College,596000898
Florida Polytechnic University,460764837
Florida Professional Institute,451012163
Florida School of Massage,592788579
Florida School of Traditional Midwifery,593239650
Florida Southern College,590624401
Florida SouthWestern State College,591211051
Florida State College at Jacksonville,591149317
Florida State University,591961248
Focus Personal Training Institute,271638237
Folsom Lake College,941576340
Fond du Lac Tribal and Community College,411687554
Fontbonne University,430694556
Foothill College,941597718
Foothill-De Anza Community College District,941597718
Fordham University,131740451
Formations Institute,833781966
Formations Institute of Cosmetology & Barbering,833781966
Forsyth Technical Community College,560792614
Fort Hays State University,481210777
Fort Lewis College,846000556
Fort Myers Technical College,596000701
Fort Peck Community College,810374399
Fort Pierce Beauty Academy,650092848
Fort Scott Community College,480723448
Fort Valley State University,586002062
Fort Worth Beauty School,751686138
Fortis College,631048908
Fortis College,810592408
Fortis College-Baton Rouge,200072171
Fortis College-Centerville,310745846
Fortis College-Cincinnati,521590170
Fortis College-Columbia,521590170
Fortis College-Columbus,521590170
Fortis College-Cutler Bay,310745846
Fortis College-Cuyahoga Falls,232823978
Fortis College-Dothan,631171690
Fortis College-Indianapolis,201720350
Fortis College-Landover,363726019
Fortis College-Montgomery,631048908
Fortis College-Norfolk,541015587
Fortis College-Orange Park,581529483
Fortis College-Richmond,541015587
Fortis College-Salt Lake City,232823978
Fortis College-Smyrna,521590170
Fortis Institute,510669055
Fortis Institute-Birmingham,251541487
Fortis Institute-Cookeville,550856745
Fortis Institute-Forty Fort,522175425
Fortis Institute-Lawrenceville,363726019
Fortis Institute-Nashville,611478427
Fortis Institute-Pensacola,631048908
Fortis Institute-Port Saint Lucie,200388896
Fortis Institute-Scranton,233006137
Fortis Institute-Towson,521590170
Fortis Institute-Wayne,363726019
Fosbre Academy of Hair Design,262900506
Fosters Cosmetology College,454763067
Fountain of Youth Academy of Cosmetology,454673187
Four County Career Center,341041876
Four Rivers Career Center,436003967
Fox College,880972255
Fox Valley Technical College,391087276
Framingham State University,46002284
Francis Marion University,570522624
Francis Tuttle Technology Center,731077928
Franciscan Missionaries of Our Lady University,721173156
Franciscan School of Theology,941745605
Franciscan University of Steubenville,340714818
Frank Phillips College,756001630
Franklin and Marshall College,231352635
Franklin College,350868086
Franklin County Career and Technology Center,251153090
Franklin Hair Academy School of Cosmetology,-1
Franklin Pierce University,20263136
Franklin Technology Center Adult Education,446003106
Franklin University,310707369
Franklin W Olin College of Engineering,61519057
Fred K Marchman Technical College,596000792
Fred W Eberle Technical Center,556000407
Frederick Community College,520743590
Fredrick and Charles Beauty College,942225644
Freed-Hardeman University,620518288
Fremont University,471096041
French Academy of Cosmetology,200815388
Fresno City College,941574802
Fresno Pacific University,941021164
Friends University,480547702
Front Range Community College,383721881
Frontier Community College,370906196
Frontier Nursing University,611124267
Frostburg State University,526002033
Full Sail University,592111456
Fuller Theological Seminary,951699394
Fullerton College,952394131
Fulton-Montgomery Community College,166002650
Furman University,570314395
Futura Career Institute,753101873
Future Generations University,452208063
FVI School of Nursing and Technology,204206941
G Skin & Beauty Institute,363169617
G Skin & Beauty Institute,363169617
GA Beauty & Barber School,463849406
Gadsden State Community College,630501425
Gadsden Technical College,596000615
Galaxy Medical College,204489579
Galen College of Nursing-ARH,611140524
Galen College of Nursing-Cincinnati,611140524
Galen College of Nursing-Louisville,611140524
Galen College of Nursing-San Antonio,611140524
Galen College of Nursing-Tampa Bay,611140524
Galen Health Institutes-Asheville,611140524
Galen Health Institutes-Austin Campus,611140524
Galen Health Institutes-Dallas,611140524
Galen Health Institutes-Gainesville,611140524
Galen Health Institutes-Houston,611140524
Galen Health Institutes-Las Vegas,611140524
Galen Health Institutes-Miami Campus,611140524
Galen Health Institutes-Myrtle Beach,611140524
Galen Health Institutes-Nashville Campus,611140524
Galen Health Institutes-Pikeville,611140524
Galen Health Institutes-Richmond,611140524
Galen Health Institutes-Roanoke,611140524
Galen Health Institutes-Salt Lake City,611140524
Galen Health Institutes-Sarasota,611140524
Galen Health Institutes-Wichita,611140524
Gallaudet University,530199507
Galveston College,741561720
Gannon University,250496976
Garden City Community College,480698107
Garden State Science and Technology Institute,260676300
Gardner-Webb University,560529972
Garrett College,520906659
Garrett-Evangelical Theological Seminary,362167085
Gaston College,560792292
Gateway Community and Technical College,611320380
GateWay Community College,860185552
GateWay Community College-Central City,860185552
Gateway Technical College,396002792
Gavilan College,942278279
Geisinger Commonwealth School of Medicine,260812968
Gem City College,370289990
Gemological Institute of America-Carlsbad,953797687
Gemological Institute of America-New York,953797687
Generations College,362581098
Genesee Community College,160920402
Genesee Valley BOCES-Practical Nursing Program,166009847
Genesis Career College-Cookeville,621434040
Genesis Career College-Lebanon,621254054
Geneva College,250965376
George C Wallace Community College-Dothan,630507618
George C Wallace State Community College-Hanceville,630498828
George C Wallace State Community College-Selma,630600375
George Fox University,930386839
George Mason University,540836354
George Stone Technical College,596000597
George T Baker Aviation Technical College,596000572
George Washington University,530196584
Georgetown College,610444695
Georgetown University,530196603
Georgia Career Institute,581838344
Georgia College & State University,586002064
Georgia Gwinnett College,270124698
Georgia Highlands College,581086067
Georgia Institute of Cosmetology,581957829
Georgia Institute of Technology-Main Campus,586002023
Georgia Military College,580616992
Georgia Northwestern Technical College,581026995
Georgia Piedmont Technical College,582223600
Georgia Southern University,586002059
Georgia Southwestern State University,586001997
Georgia State University,581845423
Georgia State University-Perimeter College,581845423
Georgian Court University,210634981
Gerbers Akron Beauty School,340839846
Germanna Community College,541268292
Gettysburg College,231352641
Glasgow Caledonian New York College,822365514
Glen Oaks Community College,381800033
Glendale Career College,951729727
Glendale Career College-North-West College-Bakersfield,951729727
Glendale Career College-North-West College-MFSON,951729727
Glendale Community College,860185552
Glendale Community College,952668744
Glenville State University,556000779
Glitz School of Cosmetology,461033249
Global Medical & Technical Training Institute,201636734
Global Tech College,454089861
Gnomon,954634146
Goddard College,30179419
Gods Bible School and College,310544271
Gogebic Community College,381816843
Golden Gate University,941585735
Golden West College,956002272
Goldey-Beacom College,510109178
Gonzaga University,910236600
Good Samaritan College of Nursing and Health Science,311778403
GoodFellas Barber College,473904287
Goodwin University,61627882
Gordon College,42104258
Gordon Cooper Technology Center,730773117
Gordon State College,581132449
Gordon-Conwell Theological Seminary,42463847
Goshen College,352158366
Goshen School of Cosmetology,900742031
Goucher College,520591613
Gould's Academy,273533000
Gould's Academy,273533000
Governors State University,362684803
Grabber School of Hair Design,430966064
Grace Christian University,381673400
Grace College and Theological Seminary,350868095
Grace International Beauty School,203485509
Grace Mission University,954559065
Grace School of Theology,760690847
Graceland University-Lamoni,420707114
Graduate America College,843041859
Graduate Theological Union,941581707
Grady Health System Professional Schools,262037695
Graham Hospital School of Nursing,370673506
Graham's Barber College,800661920
Grambling State University,726000751
Grand Canyon University,472507725
Grand Rapids Community College,382980195
Grand River Technical School,446002151
Grand Valley State University,381684280
Grand View University,420681049
Gratz College,231352642
Grays Harbor College,910589346
Grayson College,751169719
Great Basin College,886000024
Great Bay Community College,900531902
Great Falls College Montana State University,810522790
Great Lakes Boat Building School,134311296
Great Lakes Christian College,386080947
Great Lakes Institute of Technology,251786945
Great Northern University,823882005
Great Oaks Career Campuses,310793117
Great Plains Technology Center,731057962
Greater Altoona Career & Technology Center,251159676
Greater Johnstown Career and Technology Center,251180557
Greater Lowell Technical School,42438036
Green Country Technology Center,731406401
Green River College,910814013
Greene County Career and Technology Center,251220810
Greene County Career Center,310681697
Greenfield Community College,237090085
Greensboro College,560532144
Greenville Technical College,570420667
Greenville University,370681530
Grinnell College,420680387
Grossmont College,956006652
Grossmont-Cuyamaca Community College District,956006652
Guam Community College,980040312
Guilford College,560529982
Guilford Technical Community College,560792519
Gulf Coast State College,591208155
Gupton Jones College of Funeral Service,751104546
Gurnick Academy of Medical Arts,823022928
Gustavus Adolphus College,410695524
Gwinnett College,581643360
Gwinnett College-Lilburn,581643360
Gwinnett College-Marietta Campus,581643360
Gwinnett College-Sandy Springs,581643360
Gwinnett Institute,581643360
Gwinnett Technical College,223894837
Gwynedd Mercy University,231352613
H Councill Trenholm State Community College,630510750
H W Brewster Technical College,596000660
Hacienda La Puente Adult Education,952623262
Hackensack Meridian School of Medicine,813872529
Hagerstown Community College,520945289
Hair Academy,520901890
Hair Academy,464251551
Hair Academy II,161774318
Hair Academy School of Barbering & Beauty,352392862
Hair Arts Institute,464738838
Hair Professionals Career College,363485100
Hair Professionals Career College,364202227
Hair Professionals School of Cosmetology,363025158
Halifax Community College,560896018
Hallmark University,454620000
Hamilton College,150532200
Hamline University,410693960
Hampden-Sydney College,540505906
Hampshire College,46130872
Hampton University,540505990
Hamrick School,462460420
Hands on Therapy,752483894
Hannah E Mullins School of Practical Nursing,346002559
Hannibal-LaGrange University,431007642
Hanover College,350868096
Harcum College,231424055
Hardin-Simmons University,750808791
Harding University,710236896
Harford Community College,520912842
Harmony Health Care Institute,204469756
Harris-Stowe State University,431166917
Harrisburg Area Community College,231639151
Harrisburg University of Science and Technology,251900793
Hartford International University for Religion and Peace,60647016
Hartnell College,770086025
Hartwick College,150533561
Harvard University,42103580
Harvey Mudd College,951911219
Haskell Indian Nations University,30489646
Hastings Beauty School,161670611
Hastings College,470376525
Hatfield's Mississippi College of Beauty Culture,640712096
Haven University,953384325
Haverford College,236002304
Hawaii Community College,996000354
Hawaii Institute of Hair Design,990086218
Hawaii Medical College,260181916
Hawaii Pacific University,990113930
Hawkeye Community College,420925362
Hays Academy of Hair Design,460510200
Hays Academy of Hair Design,460510200
Haywood Community College,560894341
Hazard Community and Technical College,611320380
Hazelden Betty Ford Graduate School,410682405
Hazleton Area Career Center,231667968
HCA Florida Mercy Hospital School of Practical Nursing,621472389
HCI College,383905312
HDS Truck Driving Institute,860599829
Headmasters School of Hair Design,820432503
Healing Arts Center,272677384
Healing Hands School of Holistic Health,330739138
Healing Mountain Massage School,870662798
Health And Style Institute,453120547
Health and Technology Training Institute,232854079
Healthcare Career College,880408996
Healthcare Training Institute,223592799
Healthcare Training Institute,421733417
Heartland Community College,371271517
Heartland Welding Academy,821355555
Hebrew College,42104300
Hebrew Theological College,362167095
Hebrew Union College-Jewish Institute of Religion,310537067
Heidelberg University,344428219
Helena College University of Montana,810302402
Helene Fuld College of Nursing,133705284
Hellenic College-Holy Cross Greek Orthodox School of Theology,42218946
Hello Gorgeous Barbers Stillwater's School of Barbering,820963711
Helms College,581249683
Henderson Community College,611320380
Henderson State University,716000286
Hendrix College,710236897
Hennepin Technical College,411687554
Henrico County-Saint Marys Hospital School of Practical Nursing,546001344
Henry Ford College,200027170
Heritage Bible College,561212691
Heritage Christian University,237013287
Heritage University,911160585
Heritage Valley Health System School of Nursing,251801532
Herkimer County BOCES-Practical Nursing Program,156007292
Herkimer County Community College,160919625
Herzing University-Akron,271503981
Herzing University-Atlanta,271503981
Herzing University-Birmingham,271503981
Herzing University-Brookfield,271503981
Herzing University-Kenosha,271503981
Herzing University-Madison,271503981
Herzing University-Minneapolis,271503981
Herzing University-Nashville,271503981
Herzing University-New Orleans,271503981
Herzing University-Orlando,271503981
Herzing University-Tampa,271503981
Hesston College,480548361
High Desert Medical College,271254797
High Plains Technology Center,731137938
High Point University,560529999
High Tech High Graduate School of Education,270716971
Highland Community College,362616076
Highland Community College,486025822
Highlands College of Montana Tech,816001654
Highline College,910752489
Hilbert College,166031585
Hill College,741404239
Hillsborough Community College,591219841
Hillsdale Beauty College,463082796
Hilltop Beauty School,941584914
Hinds Community College,646000453
Hinton Barber and Beauty College,271755795
Hiram College,340714670
HJ International Graduate School for Peace and Public Leadership,141569152
Hobart Institute of Welding Technology,316032186
Hobart William Smith Colleges,160743040
Hobe Sound Bible College,591407629
Hocking College,310794924
Hodges University,596605703
Hofstra University,111630906
Hogan Institute of Cosmetology and Esthetics,452524473
Hohokus School of Trade and Technical Sciences,202267094
Holistic Massage Training Institute,261219357
Hollins University,540506314
Hollywood Cultural College,472990598
Hollywood Institute,824608520
Hollywood Institute of Beauty Careers,651025807
Hollywood Institute of Beauty Careers-Casselberry,651025807
Hollywood Institute of Beauty Careers-West Palm Beach,651025807
Holmes Community College,646011102
Holy Apostles College and Seminary,61149131
Holy Cross College,351148835
Holy Family University,231501197
Holy Name Medical Center-Sister Claire Tynan School of Nursing,221487322
Holyoke Community College,42719849
Homestead Schools,330499514
Homestead Schools-Costa Mesa,330499514
Hondros College of Nursing,311058931
Honolulu Community College,996000354
Hood College,520591608
Hood Theological Seminary,562231069
Hope College,381381271
Hope College of Arts and Sciences,271258972
Hope International University,951916051
Hopkinsville Community College,611320380
Horizon University,822277191
Horry-Georgetown Technical College,570477152
Hoss Lee Academy,462565881
Hot Springs Beauty College,710602928
Houghton University,160743045
House of Heavilin Beauty College-Blue Springs,431184859
House of Heavilin Beauty College-Kansas City,431184859
Houston Barber School,810942090
Houston Christian University,741400699
Houston Community College,741709152
Houston International College Cardiotech Ultrasound School,134230140
Houston Training School-Main Campus,760212032
Houston Training Schools-Gessner,760212032
Howard College,756001827
Howard Community College,520900106
Howard Payne University,750800653
Howard University,530204707
Hudson County Community College,222045990
Hudson Valley Community College,146009464
Huertas College,660286052
Hult International Business School,43348440
Humacao Community College,660363441
Humphreys University-Stockton and Modesto Campuses,941196198
Hunter Business School,112555672
Huntingdon College,630288841
Huntington Junior College,872387994
Huntington School of Beauty Culture,383718564
Huntington University,350868101
Huntsville Bible College,631191637
Husson University,10271210
Huston-Tillotson University,741180151
Hutchinson Community College,480697529
HVAC Technical Institute,364413658
Hypnosis Motivation Institute,237198104
IBMC College,833656429
IBS School of Cosmetology and Massage,200509899
Icahn School of Medicine at Mount Sinai,136171197
ICOHS College,272176329
ICPR Junior College,660354046
ICPR Junior College,660354046
ICPR Junior College-Arecibo,660354046
ICPR Junior College-Mayaguez,660354046
Idaho State University,826000924
Ideal Beauty Academy,611241878
Ideal Beauty Academy,611241878
Iliff School of Theology,840404244
Ilisagvik College,920158414
Illinois Central College,370892531
Illinois College,370661211
Illinois College of Optometry,362310478
Illinois Eastern Community College-System Office,370906196
Illinois Institute of Technology,362170136
Illinois Media School,341527166
Illinois Media School-Chicago Campus,341527166
Illinois State University,376014070
Illinois Valley Community College,362614257
Illinois Wesleyan University,370662594
Image Maker Beauty Institute,352370108
Immaculata University,231352648
Immokalee Technical College,596000557
Imperial Valley College,956006350
Independence Community College,480720287
Independent Training & Apprenticeship Program,810920262
Indian Bible College,860210715
Indian Capital Technology Center-Muskogee,730767065
Indian Hills Community College,420923689
Indian River State College,591206516
Indiana County Technology Center,251159359
Indiana Institute of Technology,350845258
Indiana Institute of Technology-College of Professional Studies,350845258
Indiana State University,356001670
Indiana University of Pennsylvania-Main Campus,251470695
Indiana University-Bloomington,356001673
Indiana University-East,356001673
Indiana University-Indianapolis,356001673
Indiana University-Kokomo,356001673
Indiana University-Northwest,356001673
Indiana University-South Bend,356001673
Indiana University-Southeast,356001673
Indiana Wellness College,272995192
Indiana Wesleyan University-Marion,350885591
Indiana Wesleyan University-National & Global,350885591
Industrial Management Training Institute,61253689
Industrial Technical College,660563906
Infinity College,273134775
Innovate Salon Academy,262834297
Innovate Salon Academy,262834297
Innovate Salon Academy,262834297
Institucion Chaviano de Mayaguez,660403144
Institute for Business and Technology,942317605
Institute for Clinical Social Work,363157451
Institute for Doctoral Studies in the Visual Arts,204984268
Institute of Advanced Medical Esthetics,203679072
Institute of Allied Healthcare,475445520
Institute of American Indian and Alaska Native Culture and Arts Development,850365964
Institute of Beauty Careers,660507917
Institute of Clinical Acupuncture & Oriental Med,990327649
Institute of Culinary Education,133847478
Institute of Culinary Education,133847478
Institute of Health Sciences,260689272
Institute of Medical Careers,263922520
Institute of Medical Ultrasound,200269171
Institute of Taoist Education and Acupuncture,841337452
Institute of Technology,471096041
Institute of Technology,471096041
Institute of World Politics,521699641
Instituto Educativo Premier,660397703
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,660243000
Instituto Tecnologico de Puerto Rico-Recinto de Manati,-1
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,660243000
Integrated Massage Therapy Services,201334879
Integrity College of Health,810665972
Intellitec College-Colorado Springs,833656429
Intellitec College-Grand Junction,843656429
Inter American University of Puerto Rico-Aguadilla,660177776
Inter American University of Puerto Rico-Arecibo,660177776
Inter American University of Puerto Rico-Barranquitas,660177776
Inter American University of Puerto Rico-Bayamon,660177776
Inter American University of Puerto Rico-Central Office,660177776
Inter American University of Puerto Rico-Fajardo,660177776
Inter American University of Puerto Rico-Guayama,660177776
Inter American University of Puerto Rico-Metro,660177776
Inter American University of Puerto Rico-Ponce,660177776
Inter American University of Puerto Rico-San German,660177776
Inter American University of Puerto Rico-School of Law,660177776
Inter American University of Puerto Rico-School of Optometry,660177776
Interactive College of Technology,581706229
Interactive College of Technology,581706229
Interactive College of Technology,581706229
Interactive College of Technology-Chamblee,581706229
Interactive College of Technology-Gainesville,581706229
Interactive College of Technology-Morrow,581706229
Interactive College of Technology-Newport,581706229
InterAmerican Technical Institute,651061842
InterCoast Colleges-Fairfield,954501439
InterCoast Colleges-Rancho Cordova,954501439
InterCoast Colleges-Riverside,954501439
InterCoast Colleges-West Covina,954501439
Interdenominational Theological Center,580814544
Interior Designers Institute,330105252
International Academy,592124125
International Academy of Style,880389861
International Air and Hospitality Academy,911079919
International Baptist College and Seminary,860257221
International Barber College,300505002
International Beauty Education Center,383744635
International Beauty School 4,431981250
International Business College-Indianapolis,251482719
International College of Beauty Arts & Sciences,364609824
International College of Broadcasting,311232242
International College of Cosmetology,203147817
International Institute of Cosmetology,600002589
International Salon and Spa Academy,840613752
International School of Beauty Inc,330975238
International School of Skin Nailcare & Massage Therapy,273068595
